q	m	cpu_s	gpu_s	speedup	maxabs_beta	maxabs_gebv	gpu	host	julia
2000	5000	0.95678	0.16233	5.894	3.896e-14	2.170e-14	NVIDIA A100-SXM4-40GB	ng20202	1.10.10
4000	5000	3.83370	0.19125	20.045	1.788e-14	1.649e-14	NVIDIA A100-SXM4-40GB	ng20202	1.10.10
8000	5000	18.73770	0.58580	31.986	3.110e-14	1.182e-13	NVIDIA A100-SXM4-40GB	ng20202	1.10.10
16000	5000	113.17358	2.42214	46.725	5.022e-14	1.977e-13	NVIDIA A100-SXM4-40GB	ng20202	1.10.10
