target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	484	0.96993988	0.0076439439	0.0097565558	0.3564838
h2	h2_delta_z	medium	240	237	45	0.2	0.9	0	500	492	492	462	0.93902439	0.010787827	0.013525045	0.36617595
h2	h2_delta_z	medium	240	237	45	0.2	0.95	0	500	492	492	478	0.97154472	0.0074960127	0.009825717	0.4365022
h2	h2_delta_z	medium	240	237	45	0.4	0.9	0	500	500	500	463	0.926	0.01170675	0.013416408	0.37210849
h2	h2_delta_z	medium	240	237	45	0.4	0.95	0	500	500	500	489	0.978	0.006559878	0.0097467943	0.43629836
h2	h2_delta_z	medium	240	237	45	0.6	0.9	0	500	500	500	440	0.88	0.014532722	0.013416408	0.36103893
h2	h2_delta_z	medium	240	237	45	0.6	0.95	0	500	500	500	468	0.936	0.010945684	0.0097467943	0.42315221
h2	h2_delta_z	medium	240	237	45	0.8	0.9	0	500	499	499	465	0.93186373	0.011280156	0.013429844	0.29711111
h2	h2_delta_z	medium	240	237	45	0.8	0.95	0	500	499	499	484	0.96993988	0.0076439439	0.0097565558	0.35464982
h2	h2_profile_chisq	medium	240	237	45	0.2	0.9	0	500	492	492	446	0.90650407	0.013124981	0.013525045	0.32652038
h2	h2_profile_chisq	medium	240	237	45	0.2	0.95	0	500	492	492	476	0.96747967	0.0079967922	0.009825717	0.38509117
h2	h2_profile_chisq	medium	240	237	45	0.4	0.9	0	500	500	500	446	0.892	0.013880634	0.013416408	0.38167583
h2	h2_profile_chisq	medium	240	237	45	0.4	0.95	0	500	500	500	471	0.942	0.010453325	0.0097467943	0.44899285
h2	h2_profile_chisq	medium	240	237	45	0.6	0.9	0	500	500	500	437	0.874	0.014840755	0.013416408	0.36790281
h2	h2_profile_chisq	medium	240	237	45	0.6	0.95	0	500	500	500	464	0.928	0.011559931	0.0097467943	0.4315781
h2	h2_profile_chisq	medium	240	237	45	0.8	0.9	0	500	499	499	448	0.89779559	0.013560424	0.013429844	0.29228439
h2	h2_profile_chisq	medium	240	237	45	0.8	0.95	0	500	499	499	480	0.96192385	0.0085673518	0.0097565558	0.34501826
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.2	0.9	200	500	492	492	440	0.89430894	0.013860547	0.013525045	0.35067287
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.2	0.95	200	500	492	492	463	0.94105691	0.010617978	0.009825717	0.41145411
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.4	0.9	200	500	500	500	436	0.872	0.01494095	0.013416408	0.46975308
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.4	0.95	200	500	500	500	455	0.91	0.012798437	0.0097467943	0.55848996
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.6	0.9	200	500	500	500	429	0.858	0.015609997	0.013416408	0.54131218
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.6	0.95	200	500	500	500	453	0.906	0.013050977	0.0097467943	0.64331816
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.8	0.9	200	500	499	499	450	0.90180361	0.013321511	0.013429844	0.54306201
sigma_a2	sigma_a2_bootstrap_percentile	medium	240	237	45	0.8	0.95	200	500	499	499	474	0.9498998	0.0097658119	0.0097565558	0.64592302
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.2	0.9	0	500	492	492	441	0.89634146	0.013742215	0.013525045	0.35199822
