target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_profile_chisq	small	120	117	21	0.4	0.95	0	500	498	498	479	0.96184739	0.0085842141	0.0097663466	0.59963578
h2	h2_profile_chisq	small	120	117	21	0.6	0.9	0	500	498	498	451	0.90562249	0.01310066	0.013443321	0.49794468
h2	h2_profile_chisq	small	120	117	21	0.6	0.95	0	500	498	498	475	0.95381526	0.0094051713	0.0097663466	0.57650255
h2	h2_profile_chisq	small	120	117	21	0.8	0.9	0	500	483	483	438	0.9068323	0.01322582	0.013650473	0.40539841
h2	h2_profile_chisq	small	120	117	21	0.8	0.95	0	500	483	483	458	0.94824017	0.010080499	0.0099168385	0.47309204
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.2	0.9	0	500	461	461	428	0.92841649	0.012006805	0.013972393	0.48050421
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.2	0.95	0	500	461	461	450	0.97613883	0.0071080621	0.010150708	0.54679495
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.4	0.9	0	500	498	498	442	0.8875502	0.014156671	0.013443321	0.6874604
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.4	0.95	0	500	498	498	459	0.92168675	0.012039117	0.0097663466	0.80088165
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.6	0.9	0	500	498	498	426	0.85542169	0.015758941	0.013443321	0.79765498
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.6	0.95	0	500	498	498	453	0.90963855	0.012847285	0.0097663466	0.95476777
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.8	0.9	0	500	483	483	422	0.873706	0.015114732	0.013650473	0.77237177
sigma_a2	sigma_a2_delta_t_family_df_probe	small	120	117	21	0.8	0.95	0	500	483	483	445	0.92132505	0.012250424	0.0099168385	0.93145855
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.2	0.9	0	500	461	461	422	0.9154013	0.012960959	0.013972393	0.46762521
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.2	0.95	0	500	461	461	442	0.95878525	0.0092584129	0.010150708	0.52950144
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.4	0.9	0	500	498	498	435	0.87349398	0.014896042	0.013443321	0.66552226
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.4	0.95	0	500	498	498	456	0.91566265	0.012452686	0.0097663466	0.77166629
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.6	0.9	0	500	498	498	419	0.84136546	0.01637105	0.013443321	0.76935186
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.6	0.95	0	500	498	498	448	0.89959839	0.013467283	0.0097663466	0.9123124
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.8	0.9	0	500	483	483	416	0.86128364	0.015727633	0.013650473	0.74430828
sigma_a2	sigma_a2_delta_t_residual_df_probe	small	120	117	21	0.8	0.95	0	500	483	483	441	0.91304348	0.01282104	0.0099168385	0.88795368
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.2	0.9	0	500	461	461	421	0.9132321	0.013110512	0.013972393	0.46489158
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.2	0.95	0	500	461	461	441	0.95661605	0.0094881798	0.010150708	0.52586559
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.4	0.9	0	500	498	498	435	0.87349398	0.014896042	0.013443321	0.66087559
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.4	0.95	0	500	498	498	456	0.91566265	0.012452686	0.0097663466	0.76541163
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.6	0.9	0	500	498	498	418	0.83935743	0.016454668	0.013443321	0.76341191
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.6	0.95	0	500	498	498	448	0.89959839	0.013467283	0.0097663466	0.90342944
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.8	0.9	0	500	483	483	415	0.85921325	0.015825513	0.013650473	0.73843354
sigma_a2	sigma_a2_delta_z	small	120	117	21	0.8	0.95	0	500	483	483	439	0.90890269	0.013092962	0.0099168385	0.87892024
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.2	0.9	0	500	461	461	441	0.95661605	0.0094881798	0.013972393	0.57343252
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.2	0.95	0	500	461	461	454	0.98481562	0.0056954174	0.010150708	0.69918328
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.4	0.9	0	500	498	498	450	0.90361446	0.01322461	0.013443321	0.72362629
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.4	0.95	0	500	498	498	478	0.95983936	0.0087980197	0.0097663466	0.86975369
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.6	0.9	0	500	498	498	447	0.89759036	0.013586101	0.013443321	0.78855823
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.6	0.95	0	500	498	498	474	0.95180723	0.0095973377	0.0097663466	0.93794256
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.8	0.9	0	500	483	483	428	0.88612836	0.014453816	0.013650473	0.75190862
sigma_a2	sigma_a2_profile_chisq	small	120	117	21	0.8	0.95	0	500	483	483	461	0.95445135	0.0094872666	0.0099168385	0.89209585
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.2	0.9	0	500	461	286	237	0.82867133	0.022280409	0.017739372	1.4129729
sigma_a2	sigma_a2_satterthwaite_chisq_probe	small	120	117	21	0.2	0.95	0	500	461	286	249	0.87062937	0.019845017	0.012887355	2.2259091
