# HSquared.jl AI-REML per-section profiler  2026-09-19T08:03:15.572
# git_sha=2dc5f8f7  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	1000	3.847	13	cholmod_factor	instrumented	0.000186	614008	14
halfsib	1000	3.847	13	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	13	selinv	instrumented	0.000051	236336	14
halfsib	1000	3.847	13	ai_step	instrumented	0.000042	325952	14
halfsib	1000	3.847	13	iteration_total	instrumented	0.000421	0	14
halfsib	1000	3.847	14	mme_assembly	instrumented	0.000130	1165472	14
halfsib	1000	3.847	14	cholmod_factor	instrumented	0.000187	614008	14
halfsib	1000	3.847	14	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	14	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	14	ai_step	instrumented	0.000042	325952	14
halfsib	1000	3.847	14	iteration_total	instrumented	0.000426	0	14
halfsib	1000	3.847	0	selinv	profile	0.000194	NaN	14
halfsib	1000	3.847	0	other	profile	0.005229	NaN	14
halfsib	1000	3.847	0	ai_step	profile	0.000032	NaN	14
halfsib	1000	3.847	0	mme_solve	profile	0.000018	NaN	14
halfsib	1000	3.847	0	cholmod_factor	profile	0.000560	NaN	14
halfsib	1000	3.847	0	mme_assembly	profile	0.000447	NaN	14
halfsib	5000	3.849	1	mme_assembly	instrumented	0.000665	5742000	12
halfsib	5000	3.849	1	cholmod_factor	instrumented	0.000999	3062008	12
halfsib	5000	3.849	1	mme_solve	instrumented	0.000102	560904	12
halfsib	5000	3.849	1	selinv	instrumented	0.000248	1172016	12
halfsib	5000	3.849	1	ai_step	instrumented	0.000463	1605712	12
halfsib	5000	3.849	1	iteration_total	instrumented	0.002560	0	12
halfsib	5000	3.849	2	mme_assembly	instrumented	0.000569	5742000	12
halfsib	5000	3.849	2	cholmod_factor	instrumented	0.000941	3062008	12
halfsib	5000	3.849	2	mme_solve	instrumented	0.000069	560904	12
halfsib	5000	3.849	2	selinv	instrumented	0.000247	1172016	12
halfsib	5000	3.849	2	ai_step	instrumented	0.000217	1605072	12
halfsib	5000	3.849	2	iteration_total	instrumented	0.002044	0	12
halfsib	5000	3.849	3	mme_assembly	instrumented	0.000971	5742000	12
halfsib	5000	3.849	3	cholmod_factor	instrumented	0.001080	3062008	12
halfsib	5000	3.849	3	mme_solve	instrumented	0.000071	560904	12
halfsib	5000	3.849	3	selinv	instrumented	0.000303	1172016	12
halfsib	5000	3.849	3	ai_step	instrumented	0.000315	1604912	12
halfsib	5000	3.849	3	iteration_total	instrumented	0.002741	0	12
halfsib	5000	3.849	4	mme_assembly	instrumented	0.000940	5742000	12
halfsib	5000	3.849	4	cholmod_factor	instrumented	0.001038	3062008	12
halfsib	5000	3.849	4	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	4	selinv	instrumented	0.000336	1172016	12
halfsib	5000	3.849	4	ai_step	instrumented	0.000281	1604752	12
halfsib	5000	3.849	4	iteration_total	instrumented	0.002665	0	12
halfsib	5000	3.849	5	mme_assembly	instrumented	0.000945	5742000	12
halfsib	5000	3.849	5	cholmod_factor	instrumented	0.001069	3062008	12
halfsib	5000	3.849	5	mme_solve	instrumented	0.000337	561448	12
halfsib	5000	3.849	5	selinv	instrumented	0.000247	1172016	12
halfsib	5000	3.849	5	ai_step	instrumented	0.000194	1604592	12
halfsib	5000	3.849	5	iteration_total	instrumented	0.002792	0	12
halfsib	5000	3.849	6	mme_assembly	instrumented	0.000589	5742000	12
halfsib	5000	3.849	6	cholmod_factor	instrumented	0.000993	3062008	12
halfsib	5000	3.849	6	mme_solve	instrumented	0.000068	560904	12
halfsib	5000	3.849	6	selinv	instrumented	0.000244	1172016	12
halfsib	5000	3.849	6	ai_step	instrumented	0.000197	1604432	12
halfsib	5000	3.849	6	iteration_total	instrumented	0.002092	0	12
halfsib	5000	3.849	7	mme_assembly	instrumented	0.000568	5742000	12
