# HSquared.jl AI-REML per-section profiler  2026-09-19T08:14:47.114
# git_sha=c8cf8e05  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	1000	3.847	0	other	profile	0.006444	NaN	14
halfsib	1000	3.847	0	ai_step	profile	0.000050	NaN	14
halfsib	1000	3.847	0	mme_solve	profile	0.000029	NaN	14
halfsib	1000	3.847	0	cholmod_factor	profile	0.000799	NaN	14
halfsib	1000	3.847	0	mme_assembly	profile	0.000572	NaN	14
halfsib	5000	3.849	1	mme_assembly	instrumented	0.000606	5742000	12
halfsib	5000	3.849	1	cholmod_factor	instrumented	0.000952	3062008	12
halfsib	5000	3.849	1	mme_solve	instrumented	0.000075	560904	12
halfsib	5000	3.849	1	selinv	instrumented	0.000249	1172016	12
halfsib	5000	3.849	1	ai_step	instrumented	0.000203	1605152	12
halfsib	5000	3.849	1	iteration_total	instrumented	0.002163	0	12
halfsib	5000	3.849	2	mme_assembly	instrumented	0.000574	5742000	12
halfsib	5000	3.849	2	cholmod_factor	instrumented	0.000935	3062008	12
halfsib	5000	3.849	2	mme_solve	instrumented	0.000068	560904	12
halfsib	5000	3.849	2	selinv	instrumented	0.000248	1172016	12
halfsib	5000	3.849	2	ai_step	instrumented	0.000196	1605072	12
halfsib	5000	3.849	2	iteration_total	instrumented	0.002022	0	12
halfsib	5000	3.849	3	mme_assembly	instrumented	0.000689	5742000	12
halfsib	5000	3.849	3	cholmod_factor	instrumented	0.000950	3062008	12
halfsib	5000	3.849	3	mme_solve	instrumented	0.000070	560904	12
halfsib	5000	3.849	3	selinv	instrumented	0.000255	1172016	12
halfsib	5000	3.849	3	ai_step	instrumented	0.000204	1604912	12
halfsib	5000	3.849	3	iteration_total	instrumented	0.002167	0	12
halfsib	5000	3.849	4	mme_assembly	instrumented	0.000598	5742000	12
halfsib	5000	3.849	4	cholmod_factor	instrumented	0.001249	3062520	12
halfsib	5000	3.849	4	mme_solve	instrumented	0.000077	560904	12
halfsib	5000	3.849	4	selinv	instrumented	0.000257	1172016	12
halfsib	5000	3.849	4	ai_step	instrumented	0.000208	1604752	12
halfsib	5000	3.849	4	iteration_total	instrumented	0.002390	0	12
halfsib	5000	3.849	5	mme_assembly	instrumented	0.000593	5742000	12
halfsib	5000	3.849	5	cholmod_factor	instrumented	0.000960	3062008	12
halfsib	5000	3.849	5	mme_solve	instrumented	0.000071	560904	12
halfsib	5000	3.849	5	selinv	instrumented	0.000275	1172016	12
halfsib	5000	3.849	5	ai_step	instrumented	0.000206	1604592	12
halfsib	5000	3.849	5	iteration_total	instrumented	0.002105	0	12
halfsib	5000	3.849	6	mme_assembly	instrumented	0.000588	5742000	12
halfsib	5000	3.849	6	cholmod_factor	instrumented	0.000946	3062008	12
halfsib	5000	3.849	6	mme_solve	instrumented	0.000072	560904	12
halfsib	5000	3.849	6	selinv	instrumented	0.000259	1172016	12
halfsib	5000	3.849	6	ai_step	instrumented	0.000204	1604432	12
halfsib	5000	3.849	6	iteration_total	instrumented	0.002070	0	12
halfsib	5000	3.849	7	mme_assembly	instrumented	0.000607	5742000	12
halfsib	5000	3.849	7	cholmod_factor	instrumented	0.000958	3062008	12
halfsib	5000	3.849	7	mme_solve	instrumented	0.000073	560904	12
halfsib	5000	3.849	7	selinv	instrumented	0.000261	1172016	12
halfsib	5000	3.849	7	ai_step	instrumented	0.000205	1604432	12
halfsib	5000	3.849	7	iteration_total	instrumented	0.002103	0	12
halfsib	5000	3.849	8	mme_assembly	instrumented	0.000599	5742000	12
halfsib	5000	3.849	8	cholmod_factor	instrumented	0.001275	3062648	12
halfsib	5000	3.849	8	mme_solve	instrumented	0.000074	560904	12
halfsib	5000	3.849	8	selinv	instrumented	0.000262	1172016	12
halfsib	5000	3.849	8	ai_step	instrumented	0.000201	1604432	12
halfsib	5000	3.849	8	iteration_total	instrumented	0.002413	0	12
halfsib	5000	3.849	9	mme_assembly	instrumented	0.000590	5742000	12
halfsib	5000	3.849	9	cholmod_factor	instrumented	0.000941	3062008	12
halfsib	5000	3.849	9	mme_solve	instrumented	0.000071	560904	12
halfsib	5000	3.849	9	selinv	instrumented	0.000253	1172016	12
halfsib	5000	3.849	9	ai_step	instrumented	0.000202	1604432	12
halfsib	5000	3.849	9	iteration_total	instrumented	0.002057	0	12
